State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,17-08-2005,2000,2200,2200,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,21-08-2005,2000,2200,2200,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,02-09-2005,2000,2100,2100,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Local,FAQ,17-03-2007,1750,1930,1840,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,23-03-2007,2045,2215,2130,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,02-04-2007,2310,2355,2333,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,03-04-2007,2215,2400,2308,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,06-04-2007,2025,2325,2175,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,07-04-2007,2250,2340,2295,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,16-04-2007,2140,2315,2228,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,20-04-2007,2170,2300,2235,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,23-04-2007,2175,2240,2208,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,11-05-2007,2060,2130,2095,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,08-06-2007,2000,2025,2013,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,14-06-2007,2005,2035,2020,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,16-06-2007,2030,2070,2050,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,10-07-2007,2065,2265,2165,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,19-07-2007,2015,2200,2108,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,24-07-2007,2095,2125,2110,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,22-03-2007,1850,2150,2000,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,05-04-2007,2260,2350,2305,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,09-04-2007,2115,2300,2208,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,10-04-2007,2200,2310,2255,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,27-04-2007,2090,2150,2120,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,30-04-2007,2110,2175,2143,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,01-05-2007,2000,2190,2095,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,03-05-2007,2065,2200,2133,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,12-05-2007,2070,2205,2138,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,18-05-2007,2000,2080,2040,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,25-05-2007,1925,1975,1950,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,09-06-2007,2025,2040,2033,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,18-06-2007,1995,2150,2073,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,19-06-2007,2090,2105,2098,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,20-06-2007,2080,2240,2160,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,22-06-2007,1975,2110,2043,7
Andhra Pradesh,Cuddapah,Cuddapah,Red Gram,Other,FAQ,27-06-2007,2300,2300,2300,7
